MelSpecTime, Prediction Time
-0.269869327545166,-0.051589012145996094
-0.3438684940338135,-0.04596590995788574
-0.2660844326019287,-0.04781341552734375
-0.27504444122314453,-0.05536818504333496
-0.2772974967956543,-0.05115342140197754
-0.27716898918151855,-0.048861026763916016
-0.27277159690856934,-0.05218982696533203
-0.3412168025970459,-0.04965996742248535
-0.4623744487762451,-0.04900026321411133
-0.40572404861450195,-0.050470590591430664
-0.4321904182434082,-0.046980857849121094
-1.5981826782226562,-0.05293464660644531
-0.27248287200927734,-0.05003547668457031
-0.27398014068603516,-0.0437769889831543
-1.5997726917266846,-0.05078911781311035
-0.31076931953430176,-0.04336833953857422
-0.8231933116912842,-0.05037117004394531
-0.2719993591308594,-0.04357576370239258
-0.26589059829711914,-0.04292154312133789
-0.26921653747558594,-0.04336118698120117
-0.25517892837524414,-0.04086947441101074
-0.2622792720794678,-0.04254961013793945
-0.2672245502471924,-0.04405927658081055
-0.2690460681915283,-0.0439305305480957
-0.2611374855041504,-0.04345560073852539
-0.2665245532989502,-0.04417872428894043
-0.2693800926208496,-0.04472756385803223
-0.26481151580810547,-0.04471087455749512
-0.26842617988586426,-0.050512075424194336
-0.26848292350769043,-0.04283595085144043
-0.258136510848999,-0.04126334190368652
-0.26106953620910645,-0.043683767318725586
-0.2656741142272949,-0.04276156425476074
-0.27148938179016113,-0.04287242889404297
-0.26230502128601074,-0.04175090789794922
-0.26506495475769043,-0.04283928871154785
-0.2686629295349121,-0.0431675910949707
-0.26468682289123535,-0.04264092445373535
-0.2679743766784668,-0.044020891189575195
-0.26685023307800293,-0.0427248477935791
-0.2645139694213867,-0.04295969009399414
-0.26821064949035645,-0.04313778877258301
-0.26808643341064453,-0.04413938522338867
-0.2689483165740967,-0.04313254356384277
-0.2713947296142578,-0.043814897537231445
-0.2644035816192627,-0.0437626838684082
-0.26022887229919434,-0.04380631446838379
-0.2662982940673828,-0.044478416442871094
-0.2656376361846924,-0.04423809051513672
-0.2650411128997803,-0.04451441764831543
-0.26050853729248047,-0.043682098388671875
-0.26462578773498535,-0.04436016082763672
-0.26299118995666504,-0.0480809211730957
-0.267728328704834,-0.04572248458862305
-0.26388120651245117,-0.045049190521240234
-0.2621650695800781,-0.04423093795776367
-0.26419615745544434,-0.044480323791503906
-0.2614438533782959,-0.043546438217163086
-0.26558566093444824,-0.04493451118469238
-0.2708773612976074,-0.04481196403503418
-0.27014613151550293,-0.04474616050720215
-0.2674562931060791,-0.04420876502990723
-0.26637887954711914,-0.04381299018859863
-0.26856350898742676,-0.04504275321960449
-0.26346540451049805,-0.044380903244018555
-0.27030372619628906,-0.0446012020111084
-0.2664206027984619,-0.04457569122314453
-0.2655792236328125,-0.04427361488342285
-0.26561617851257324,-0.04418063163757324
-0.26671600341796875,-0.04429340362548828
-0.25713014602661133,-0.04276537895202637
-0.2663848400115967,-0.044144392013549805
-0.25886058807373047,-0.042382240295410156
-0.2650332450866699,-0.04411458969116211
-0.2668881416320801,-0.04419398307800293
-0.2658510208129883,-0.0453648567199707
-0.2667968273162842,-0.0445406436920166
-0.27021360397338867,-0.044909000396728516
-0.2666492462158203,-0.04506254196166992
-0.26302456855773926,-0.04887700080871582
-0.2665591239929199,-0.04339098930358887
-0.2568690776824951,-0.04201483726501465
-0.26622843742370605,-0.04286050796508789
-0.26680755615234375,-0.045073509216308594
-0.2704734802246094,-0.043332815170288086
-0.26938843727111816,-0.04358816146850586
-0.26535868644714355,-0.0432429313659668
-0.26726460456848145,-0.042998552322387695
-0.2659778594970703,-0.04326486587524414
-0.2646324634552002,-0.04465818405151367
-0.2634854316711426,-0.044249534606933594
-0.26739048957824707,-0.04456686973571777
-0.26456189155578613,-0.04429197311401367
-0.2556016445159912,-0.042020320892333984
-0.2672383785247803,-0.04537034034729004
-0.26688599586486816,-0.059357404708862305
-0.26584529876708984,-0.0471491813659668
-0.2653462886810303,-0.04427003860473633
-0.26493310928344727,-0.04400467872619629
-0.26533961296081543,-0.044319868087768555
-0.2667241096496582,-0.04543471336364746
-0.26728296279907227,-0.04498648643493652
-0.2642350196838379,-0.04529857635498047
-0.2657914161682129,-0.04439830780029297
